,id,geometry
480,102589402,POINT (-76.4934495 38.9815801)
481,102589405,POINT (-76.49415380000001 38.9809078)
482,102589409,POINT (-76.4954 38.9795354)
483,102589412,POINT (-76.49581240000001 38.9782831)
484,102622188,POINT (-76.49746399999999 38.9774608)
485,102622190,POINT (-76.4974443 38.9770434)
486,102622192,POINT (-76.4981064 38.9752881)
487,102622194,POINT (-76.49862829999999 38.9745885)
488,102622198,POINT (-76.500193 38.9724693)
489,9687753888,POINT (-76.49505240000001 38.9751891)
490,10128286932,POINT (-76.501017 38.9820322)
491,3812517082,POINT (-76.4764881 38.98145)
492,10128286939,POINT (-76.5012346 38.9818289)
493,102622512,POINT (-76.49670829999999 38.9793914)
494,102589750,POINT (-76.49749 38.989499)
495,102557102,POINT (-76.48942959999999 38.9833228)
496,102557104,POINT (-76.4885833 38.9827767)
497,102557194,POINT (-76.4840007 38.9792342)
498,102557198,POINT (-76.48445769999999 38.978795)
499,102589996,POINT (-76.48797260000001 38.9734127)
500,102589997,POINT (-76.4895953 38.9744268)
501,102589999,POINT (-76.49002470000001 38.974691)
502,7221536327,POINT (-76.49730099999999 38.9872862)
503,7221536339,POINT (-76.4958304 38.9886854)
504,4341131050,POINT (-76.50249770000001 38.9809244)
505,7985096490,POINT (-76.49964610000001 38.9866708)
506,1304061741,POINT (-76.48293289999999 38.977733)
507,7985096494,POINT (-76.4980644 38.9866505)
508,7985096496,POINT (-76.49651350000001 38.9864575)
509,7985096507,POINT (-76.4996527 38.9875082)
510,7985096508,POINT (-76.4999645 38.9877693)
511,7985096509,POINT (-76.50010570000001 38.9878899)
512,1304061824,POINT (-76.4827844 38.9778385)
513,1304061871,POINT (-76.4877774 38.9775364)
514,1304061881,POINT (-76.4828711 38.9778329)
515,1304061903,POINT (-76.4874945 38.982021)
516,1304061920,POINT (-76.4878241 38.9773033)
517,3812550653,POINT (-76.4869714 38.9824417)
518,1304061952,POINT (-76.4846919 38.9789251)
519,102623270,POINT (-76.495216 38.9937262)
520,102623271,POINT (-76.4946271 38.9932047)
521,1304062017,POINT (-76.48792469999999 38.9774055)
522,102656066,POINT (-76.490599 38.9794742)
523,1304062043,POINT (-76.4852374 38.9792374)
524,1304062078,POINT (-76.4847183 38.9787641)
525,1304062154,POINT (-76.48640779999999 38.9800653)
526,1304062166,POINT (-76.48293390000001 38.9777669)
527,3812813020,POINT (-76.4925604 38.9874909)
528,1648584937,POINT (-76.4939174 38.9756432)
529,1648584940,POINT (-76.4936123 38.976068)
530,7308536071,POINT (-76.49746949999999 38.9778937)
531,7308536072,POINT (-76.4976277 38.9778573)
532,5018183970,POINT (-76.5013421 38.9884427)
533,5018183972,POINT (-76.5012265 38.9885462)
534,1304062293,POINT (-76.48790200000001 38.9774824)
535,9834817902,POINT (-76.5019956 38.9816359)
